id,title,avg_comp_score
817,Bentley Stephanie,0.9049
818,Benton Brook,0.831375
819,Berg Matraca,0.489475
820,Berger Michel,-0.23076
821,Berlin,0.8225
822,Berman Jacqueline,0.5152
823,Bern Dan,0.449690909
824,Bernard Crystal,0.493814286
825,Bernd Apitz,-0.8316
826,Bernd Clauuml;ver,-0.834576923
827,Bernd Simon,-0.8316
828,Bernd Spier,-0.2274
829,Bernd Stelter,-0.7579
830,Bernhard Brink,-0.773578571
831,Bernhard Mantei,-0.8316
832,Bernie Paul,0.347283333
833,Berry Chuck,0.9709
834,Berry John,0.9265875
835,Bersani Samuele,0.00385
836,Bert Brecht,-0.7365
837,Bert Lown,-0.5496
838,"Bert Russel, Wes Farrell",0.7003
839,Bert Russell And Wes Farrell,-0.5257
840,Berte Loredana,-0.5484
841,Bertoli Pierangelo,0.0258
842,Bertolt Brecht,-0.5994
843,Berurier Noir,-0.159855556
844,Beseech,-0.01669
845,Best Brains Productions,-0.6994
846,Besti&#225;k,0.63855
847,Beth Nielsen-chapman,0.3906
848,Bethania Maria,0.346685714
849,Bethlehem,-0.70889
850,Bethzaida,-0.194657895
851,Betray My Secrets,-0.306422222
852,Betrayal,-0.4603125
853,Bette Midler,0.676523926
854,Better Than Ezra,0.333477551
855,Bettina Wegner,-0.9843
856,Beverley Craven,-0.9169
857,Beverley Knight,0.599647826
858,Bewitched,0.95355
859,Bianca,-0.9485
860,Bianca Schomburg,-0.9901
861,Bianco Bonnie,0.07618
862,Bianco Matt,0.5204
863,Bibb Eric,0.5719
864,Bibi Johns,-0.876166667
865,Bibi Johns And Die Starlets,-0.91785
866,Bibi Johns And Paul Kuhn,-0.8741
867,Bif,0.6854
868,Bif Naked,0.544184375
869,Big Bad Benjo,-0.673766667
870,Big Bad Vodoo Daddy,-0.126885714
871,Big Bad Voodoo Daddy,0.531918182
872,Big Bird,0.9861
873,Big Black,-0.1338125
874,Big Bopper,0.662
875,Big Brother,-0.9485
876,Big Brother Wg,-0.9556
877,Big Brovaz,0.04095
878,Big Country,0.220368
879,Big Drill Car,0.688866667
881,Big Head Todd And The Monsters,0.280921875
882,Big Mountain,0.9908
884,Big Runga,0.9596
885,Big Soul,-0.3094
886,Big Star,0.375588095
887,Big Tent Revival,0.4029
888,Big Tymers,0.257041176
889,Big Umbrella,0.032377778
890,Bigod 20,0.124775
891,Bigras Dan,#N/A
892,Bijelo Dugme,-0.317418182
893,Bikel Theo,-0.8519
894,Bikini Kill,0.056503448
895,Bile,-0.44814
896,Bilgeri,0.351475
897,Bill Batstone And Tom Coomes,0.9915
898,Bill Gaither And The Gaither Vocal Band,0.93535
899,Bill Haley,0.8171
900,Bill Medley,0.25815
901,Bill Ramsey,-0.990666667
902,Bill Tithers,0.7351
903,Bill Withers,0.221125
904,Bill Wyman,0.9498
905,Billie,0.396822222
906,Billie Holiday,0.518304
907,Billie Myers,0.1901
908,Billy Bragg,0.190441176
909,Billy Gilman,0.834536111
