 ID  ,title,followers_count,genres,popularity,avgcompscore
5611,Queen,6735044,"['album rock', 'classic rock', 'glam rock', 'heavy christmas', 'rock']",84,-0.580922222
5612,Queen Latifah,53179,"['east coast hip hop', 'hip hop', 'hip pop', 'hollywood']",59,0.198966667
5613,Queen Pen,6077,['hip pop'],66,0.1707
5614,Queens of the Stone Age,1304032,"['alternative metal', 'alternative rock', 'blues-rock', 'garage rock', 'modern rock', 'neo-psychedelic', 'nu metal', 'post-grunge', 'rock', 'stoner metal', 'stoner rock']",74,0.192238095
5615,Queensrÿche,185048,"['album rock', 'classic rock', 'glam metal', 'hard rock', 'heavy christmas', 'metal', 'power metal', 'progressive metal', 'rock', 'speed metal', 'thrash metal']",56,0.184031429
5616,The Queers,19137,"['boston rock', 'hardcore punk', 'melodic hardcore', 'orgcore', 'power-pop punk', 'punk', 'ska punk', 'skate punk']",41,-0.8827
5617,Quen,142,[],1,-0.8316
5618,Odette Quesada,6805,[],34,nan
5619,Quicksand,21441,"['alternative rock', 'emo', 'emo punk', 'grunge', 'math rock', 'mathcore', 'melodic hardcore', 'post-hardcore']",42,0.96838
5620,Quicksilver Messenger Service,29741,"['blues-rock', 'british blues', 'canterbury scene', 'classic garage rock', 'classic rock', 'country rock', 'folk rock', 'freakbeat', 'psychedelic rock']",38,-0.143
5621,Quincy Jones,87653,"['adult standards', 'classic funk rock', 'disco', 'funk', 'jazz christmas', 'jazz funk', 'motown', 'quiet storm', 'soul', 'soul christmas']",57,nan
5622,Maestro Julian Quirit,1,[],0,-0.26424
5623,Quorthon,2415,[],14,0.066425
5624,R. Kelly,1458829,"['dance pop', 'hip hop', 'hip pop', 'neo soul', 'pop', 'pop christmas', 'pop rap', 'r&b', 'rap', 'soul christmas', 'southern hip hop', 'urban contemporary']",77,0.444105128
5625,R. Dean Taylor,2584,"['motown', 'northern soul']",40,-0.099912857
5626,M A E S T R O,2629,[],39,0.45385
5627,R. Kelly,1458829,"['dance pop', 'hip hop', 'hip pop', 'neo soul', 'pop', 'pop christmas', 'pop rap', 'r&b', 'rap', 'soul christmas', 'southern hip hop', 'urban contemporary']",77,0.736614286
5628,R.B. Greaves,731,[],30,-0.802795
5629,R.E.M.,1089029,"['album rock', 'alternative rock', 'art rock', 'classic rock', 'dance rock', 'folk christmas', 'mellow gold', 'permanent wave', 'pop christmas', 'pop rock', 'rock']",74,-0.7456
5630,Stefan Raab,4776,[],30,-0.13795
5631,Eddie Rabbitt,75020,"['country', 'country gospel', 'country rock', 'mellow gold', 'nashville sound', 'outlaw country', 'soft rock', 'traditional country']",51,-0.296
5632,Racey,6546,['glam rock'],36,0.8826
5633,Rachel Sweet,1486,[],29,-0.223111111
5634,Racionais MC's,1567608,"['brazilian hip hop', 'deep funk carioca']",66,-0.9661
5635,Svar of Radigost,0,[],0,-0.9904
5636,Radio Futura,84507,"['cantautor', 'rock en espanol', 'spanish new wave', 'spanish pop']",55,-0.838414286
5637,Radio Iodine,145,[],4,0.55797619
5638,Radio Kaos,11575,"['latin alternative', 'rock en espanol']",32,nan
5639,Radiohead,2916063,"['alternative rock', 'art rock', 'melancholia', 'modern rock', 'permanent wave', 'rock']",79,0.010375
5640,RAF Camora,359544,['german hip hop'],81,0.085483333
5641,Riff Raff,104787,"['trap music', 'underground hip hop']",58,-0.9758
5642,Gerry Rafferty,71737,"['album rock', 'art rock', 'folk', 'folk christmas', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock']",57,-0.8689
