,main_artist,Year,Rank,Source,comp_score,pos_score,neu_score,neg_score
106,arrested development,1992.3333333333333,46.0,1.0,-0.13650000000000004,0.124,0.7553333333333333,0.12066666666666666
107,arthur conley,1967.0,17.0,1.0,0.9931,0.3,0.6829999999999999,0.017
108,asap rocky,2013.0,41.0,1.0,-0.9983,0.157,0.583,0.259
109,ashanti,2002.4,47.2,1.0,0.58938,0.14040000000000002,0.7862,0.07339999999999999
110,asher roth,2009.0,73.0,1.0,0.9977,0.209,0.7170000000000001,0.07400000000000001
111,ashford,1985.0,80.0,3.0,0.9985,0.282,0.69,0.027999999999999997
112,ashlee simpson,2004.0,39.0,1.0,0.9922,0.192,0.747,0.061
113,asia,1982.5,69.0,1.0,0.3394,0.1435,0.8225,0.034
114,atlanta rhythm section,1977.5,44.5,2.0,0.96885,0.277,0.6935,0.0295
115,atlantic starr,1988.3333333333333,17.666666666666668,1.0,0.9689333333333333,0.23733333333333337,0.7066666666666667,0.056
116,audioslave,2003.0,96.0,1.0,-0.8934,0.139,0.6859999999999999,0.174
117,avant,2002.0,63.5,1.0,0.9973,0.2495,0.7130000000000001,0.037500000000000006
118,average white band,1975.0,45.0,1.0,0.4557,0.066,0.8785000000000001,0.0555
119,avicii,2013.6666666666667,33.666666666666664,1.0,0.9548666666666666,0.162,0.7976666666666666,0.04033333333333333
120,avril lavigne,2005.0,51.125,1.0,0.440075,0.13025,0.753625,0.11625000000000002
121,awolnation,2013.0,25.0,1.0,-0.9321,0.08199999999999999,0.7040000000000001,0.214
122,ayo teo,2017.0,61.0,1.0,0.9949,0.159,0.809,0.032
123,az,1995.0,84.0,1.0,0.9956,0.14800000000000002,0.81,0.043
124,az yet,1996.6666666666667,47.333333333333336,1.0,0.9790333333333333,0.24233333333333332,0.7286666666666667,0.028666666666666663
125,b2k,2002.5,56.0,1.0,0.9916,0.099,0.8634999999999999,0.037500000000000006
126,baauer,2013.0,4.0,1.0,-0.6705,0.0,0.915,0.085
127,baby bash,2005.4,68.0,1.0,0.9919399999999999,0.134,0.8131999999999999,0.05279999999999999
128,baby boy da prince,2007.0,53.0,3.0,0.9478,0.084,0.8370000000000001,0.079
129,babyface,1993.0,65.0,1.3333333333333333,0.47075000000000006,0.15516666666666667,0.7650000000000001,0.08016666666666666
130,bachmanturner overdrive,1974.5,80.5,,,,,
131,backstreet boys,1999.4285714285713,32.857142857142854,1.0,0.7110857142857142,0.1522857142857143,0.7911428571428571,0.05657142857142857
132,bad company,1977.0,60.5,1.0,0.99775,0.44299999999999995,0.5569999999999999,0.0
133,bad english,1989.5,51.0,1.0,0.9886,0.189,0.749,0.062
134,bad meets evil,2011.0,34.0,1.0,-0.9879,0.107,0.752,0.142
135,badfinger,1971.0,43.5,1.0,0.2484,0.134,0.7705000000000001,0.0955
136,baltimora,1986.0,73.0,1.0,0.9815,0.139,0.8320000000000001,0.028999999999999998
137,bananarama,1985.6666666666667,54.666666666666664,1.0,0.014466666666666671,0.14966666666666667,0.6606666666666666,0.18933333333333333
138,barbara lewis,1965.0,38.0,1.0,-0.7579,0.044000000000000004,0.863,0.092
139,barbara mason,1965.0,27.0,5.0,0.9996,0.584,0.41600000000000004,0.0
140,barbra streisand,1980.9,41.4,1.4,0.5952000000000001,0.18120000000000003,0.7495,0.0693
141,barenaked ladies,1998.0,51.0,1.0,0.624,0.135,0.7240000000000001,0.142
142,barry manilow,1977.4545454545455,60.27272727272727,1.0,0.9058363636363637,0.15163636363636362,0.7935454545454544,0.054818181818181815
143,barry mcguire,1965.0,29.0,1.0,-0.9851,0.133,0.655,0.212
144,barry white,1974.0,45.333333333333336,1.0,0.9807666666666667,0.20433333333333334,0.7463333333333333,0.04933333333333334
145,bastille,2014.0,12.0,1.0,0.9938,0.17,0.7909999999999999,0.039
146,bay city rollers,1976.3333333333333,77.33333333333333,1.6666666666666667,0.8981666666666667,0.12666666666666668,0.8463333333333334,0.02666666666666666
147,bazuka,1975.0,51.0,3.0,0.0,0.0,1.0,0.0
148,bb king,1970.0,98.0,1.0,0.9939,0.354,0.603,0.044000000000000004
149,bbmak,2000.0,33.0,1.0,0.2378,0.126,0.782,0.092
150,beastie boys,1987.0,98.0,1.0,-0.99,0.055999999999999994,0.693,0.251
151,beck,1994.0,50.0,1.0,-0.9855,0.077,0.767,0.157
152,becky g,2014.0,69.0,1.0,0.9921,0.141,0.835,0.024
153,bee gees,1976.4166666666667,30.0,1.0,0.31574166666666664,0.16975000000000004,0.6895000000000001,0.14058333333333337
154,beenie man,2004.0,85.0,1.0,0.9525,0.195,0.669,0.136
155,belinda carlisle,1987.3333333333333,33.333333333333336,1.0,-0.3242,0.18399999999999997,0.6469999999999999,0.16866666666666666
156,bell biv devoe,1990.0,7.5,1.0,0.9702,0.13,0.79,0.0795
157,ben e king,1987.0,67.0,1.0,0.9758,0.168,0.7909999999999999,0.040999999999999995
158,benny mardones,1980.0,69.0,1.0,-0.2942,0.14800000000000002,0.7020000000000001,0.149
159,berlin,1986.0,27.0,1.0,-0.4939,0.06,0.846,0.094
160,bert kaempfert,1965.0,32.0,3.0,0.9735,0.228,0.7190000000000001,0.053
161,bertie higgins,1982.0,17.0,1.0,0.9605,0.171,0.755,0.07400000000000001
162,bette midler,1981.2,36.0,1.0,0.90908,0.1516,0.8008,0.047799999999999995
163,better than ezra,1995.0,85.0,1.0,0.9983,0.37200000000000005,0.59,0.038
164,betty wright,1972.0,49.0,1.0,0.9961,0.298,0.643,0.057999999999999996
