main_artist,avg_year,avg_rank,avg_comp_score,avg_pos_score,avg_neu_score,avg_neg_score,sp_id,sp_name,followers_count,popularity,genres
the intruders,1968.0,32.0,0.9641,0.116,0.845,0.039,1A92IAcd7A6npCA33oGM5i,The Proclaimers,19285,38,['celtic rock']
the irish rovers,1968.0,76.0,0.7961,0.074,0.888,0.038,6wPhSqRtPu1UhRCDX5yaDJ,The Pussycat Dolls,106762,65,"['dance pop', 'europop', 'hip pop', 'pop', 'pop christmas', 'pop rap', 'post-teen pop', 'r&b', 'soul christmas', 'urban contemporary']"
the isley brothers,1978.0,50.0,0.03264,0.1038,0.8078,0.0884,5X3TuTi9OIsJXMGxPwTKM2,The Young Rascals,1602461,72,"['brill building pop', 'british blues', 'bubblegum pop', 'classic garage rock', 'classic rock', 'folk rock', 'mellow gold', 'merseybeat', 'motown', 'psychedelic rock', 'rock-and-roll']"
the j geils band,1982.0,27.0,0.9617,0.067,0.923,0.01,1SImpQO0GbjRgvlwCcCtFo,The Red Jumpsuit Apparatus,29166,46,"['alternative metal', 'emo', 'modern rock', 'pop punk', 'pop rock', 'post-grunge', 'rap metal', 'screamo']"
the jackson 5,1970.85714286,28.1428571429,0.704857142857,0.163571428571,0.744285714286,0.0918571428571,4b0WsB47XCa9F83BmwQ7WX,The Righteous Brothers,455822,65,"['adult standards', 'brill building pop', 'bubblegum pop', 'christmas', 'folk rock', 'mellow gold', 'motown', 'rock-and-roll', 'rockabilly']"
the jacksons,1980.0,42.0,0.99645,0.2825,0.6955,0.0225,22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,107250,61,"['album rock', 'british invasion', 'classic rock', 'folk rock', 'protopunk', 'rock']"
the jaggerz,1970.0,45.0,0.296,0.021,0.979,0.0,3daM7asS0gCFvyLemNx2EE,The Romantics,4156690,81,"['album rock', 'dance rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'power pop', 'rock', 'soft rock', 'synthpop']"
the jeff healey band,1989.0,70.0,0.9884,0.166,0.817,0.018,2ltpcCK86foogli20z9raq,The Royal Guardsmen,69672,61,['bubblegum pop']
the jets,1987.2,60.8,0.24862,0.1042,0.8286,0.0668,3iBuBivHItWMpdiVmLT0uB,The Sandpipers,1326,28,['bubblegum pop']
the killers,2005.0,16.0,0.587,0.14,0.735,0.125,3AQRLZ9PuTAozP28Skbq8V,The Script,3476,29,"['boy band', 'celtic rock', 'neo mellow', 'pop', 'pop rock']"
the kingsmen,1965.0,39.0,0.9117,0.124,0.826,0.05,4QmkLL9JOqM9dusHS1Hghe,The Searchers,3062279,79,"['adult standards', 'brill building pop', 'british blues', 'british invasion', 'bubblegum pop', 'christmas', 'classic rock', 'folk rock', 'merseybeat', 'rock-and-roll', 'rockabilly']"
the kinks,1970.75,59.25,0.39555,0.108,0.807,0.0855,7dedWAqd0IKTdCiqiadUrV,The Seekers,48281,48,"['adult standards', 'brill building pop', 'british invasion', 'bubblegum pop', 'christmas', 'folk', 'folk rock', 'mellow gold', 'merseybeat', 'rock-and-roll', 'traditional folk']"
the klf,1991.5,73.5,0.9896,0.161,0.806,0.0335,0xiwq3fF6bTvpEgIoKM4Al,The Band of the Royal Air Force Regiment feat. RAF Shades of Blue,36100,49,[]
the knack,1979.0,1.0,0.8821,0.123,0.797,0.081,40Yq4vzPs9VNUrIBG5Jr2i,The Smashing Pumpkins,3,0,"['alternative metal', 'alternative rock', 'modern rock', 'nu metal', 'permanent wave', 'pop christmas', 'pop rock', 'post-grunge', 'rock']"
the left banke,1966.0,40.0,-0.9791,0.022,0.787,0.191,6pXCjxMOBcWtvULYkFPVW6,The S.O.S Band,1286437,73,"['classic funk rock', 'disco', 'funk', 'motown', 'new jack swing', 'post-disco', 'quiet storm', 'soul', 'urban contemporary']"
the lemon pipers,1968.0,47.0,0.6369,0.187,0.68,0.133,77oyFDj00Afu8tjXDy5CDs,The Soul Survivors,134111,52,[]
the lettermen,1968.5,52.0,-0.9969,0.103,0.532,0.365,3i9hP422d2KMjaupTzBNVS,The Spencer Davis Group,303,23,"['art rock', 'blues-rock', 'british blues', 'british invasion', 'bubblegum pop', 'classic rock', 'folk rock', 'merseybeat', 'protopunk', 'psychedelic rock', 'rock-and-roll', 'rockabilly']"
the lovin spoonful,1965.66666667,62.3333333333,0.479233333333,0.109333333333,0.835,0.0556666666667,5fbhwqYYh4YwUoEs582mq5,The Spinners,63841,56,"['chicago soul', 'classic funk rock', 'disco', 'funk', 'mellow gold', 'memphis soul', 'motown', 'quiet storm', 'soft rock', 'soul', 'soul blues', 'soul christmas', 'southern soul']"
the lox,1998.0,78.0,0.9974,0.177,0.721,0.103,2wcUrstwz5rDu6ry56Ihy1,Scotty Bullock & The Stampeders,177394,60,[]
the lumineers,2012.5,40.0,0.9815,0.139,0.837,0.025,4BM6qze88exQPVILQpcYpj,The Standells,71,3,"['classic garage rock', 'freakbeat', 'protopunk', 'psychedelic rock']"
the main ingredient,1973.0,32.5,0.038,0.204,0.6685,0.1275,7xGGqA85UIWX1GoTVM4itC,The Staple Singers,5721,34,"['brill building pop', 'chicago soul', 'classic funk rock', 'funk', 'jazz blues', 'jazz christmas', 'memphis blues', 'memphis soul', 'motown', 'new orleans blues', 'quiet storm', 'soul', 'soul blues', 'soul christmas', 'southern soul']"
the mamas,1966.33333333,26.3333333333,0.5609,0.148,0.794333333333,0.0576666666667,4NMkJqM1SsQP3gk81cqk6K,The Strangeloves,77147,57,"['classic garage rock', 'freakbeat']"
