Row Labels,Count of genres
german indieNONE,2
german metal,22
german metalNONE,1
german oi,1
german pop,36
german popNONE,6
german punk,3
german punkNONE,2
german technoNONE,2
girl groupNONE,1
glam metal,24
glam metalNONE,2
glam rock,3
glam rockNONE,13
goregrind,1
goregrindNONE,1
gospelNONE,4
gothic doomNONE,6
gothic metal,18
gothic metalNONE,4
gothic rock,1
gothic rockNONE,3
grave wave,1
grim death metal,1
grim death metalNONE,3
grime,1
groove metal,5
grunge,3
grunge pop,4
grunge popNONE,6
grungeNONE,1
grupera,4
guitar caseNONE,1
halloweenNONE,1
hard alternative,1
hard minimal technoNONE,1
hard rock,5
hard stoner rockNONE,1
hardcore hip hop,4
hardcore hip hopNONE,1
hardcore punk,4
hardcore techno,2
hardcoreNONE,1
harp,1
hatecoreNONE,1
hawaiian,1
hawaiianNONE,2
healing,3
heavy christmas,16
heavy christmasNONE,1
hebrew pop,1
hip hop,8
hip hop quebecois,1
hip house,5
hip houseNONE,5
hip pop,19
hip popNONE,5
hiplifeNONE,2
hoerspiel,2
hollywood,4
hollywoodNONE,5
horror punk,2
horror punkNONE,1
horrorcore,1
house,1
hungarian pop,2
hungarian popNONE,1
hungarian rockNONE,3
hyphy,3
indian popNONE,1
indie anthem-folk,1
indie christmas,3
indie christmasNONE,1
indie dream pop,1
indie electro-popNONE,2
indie emoNONE,1
indie folk,2
indie garage rockNONE,2
indie pop,3
indie poptimism,2
indie poptimismNONE,1
indie psych-rock,2
indie punk,1
indie r&b,4
indie r&bNONE,1
indie rockism,1
indie rockismNONE,1
indie singer-songwriter,1
indonesian hip hop,1
indonesian indie,6
indonesian indieNONE,1
indonesian pop,1
indonesian popNONE,5
indorock,2
industrial,5
industrial metal,5
industrial metalNONE,2
industrial rockNONE,1
industrialNONE,1
instrumental rock,1
instrumental rockNONE,1
irish countryNONE,1
irish folkNONE,1
irish rock,3
israeli popNONE,2
italian alternative,2
italian arena pop,17
italian disco,8
italian discoNONE,40
italian hip hop,5
italian hip hopNONE,1
italian indie popNONE,1
italian jazzNONE,1
italian metal,3
italian metalNONE,2
italian pop,5
italian pop rockNONE,1
italian popNONE,16
italian progressive rockNONE,1
italian punkNONE,1
italo danceNONE,1
jam band,6
jam bandNONE,1
jangle pop,6
jangle popNONE,1
japanese city popNONE,1
japanoiseNONE,1
jazz blues,4
jazz christmas,8
jazz christmasNONE,1
jazz funkNONE,1
jazz metal,4
jazz metalNONE,1
j-coreNONE,1
j-dance,2
j-metal,1
j-metalNONE,1
j-pop,1
j-punk,1
j-rock,1
judaicaNONE,1
jug bandNONE,1
jump blues,3
jumpstyleNONE,1
kabarett,8
kabarettNONE,3
karnevalNONE,3
kc indieNONE,2
k-hopNONE,1
k-indie,1
kiwi rock,1
kiwi rockNONE,4
korean popNONE,1
kraut rockNONE,1
latin,32
latin alternative,17
latin alternativeNONE,1
latin arena pop,1
latin christianNONE,2
latin christmas,1
latin christmasNONE,5
latin metal,2
latin metalNONE,3
latin popNONE,3
latin rock,3
latin rockNONE,1
latvian popNONE,1
liedermacherNONE,11
lift kit,1
lilith,10
lilithNONE,9
lithumaniaNONE,5
lo beats,2
lo beatsNONE,1
lo-fi,1
louisville indieNONE,1
