"id	artistid	artist	title	compound_score",,
"10790	748	Beach Boys	Lonely Sea	-0.7905",,
"10791	748	Beach Boys	""Long"," Tall Texan""	0.9592",
"10792	748	Beach Boys	Monster Mash	0.9343",,
"10793	748	Beach Boys	Noble Surfer	0.367",,
"10794	748	Beach Boys	Our Car Club	-0.6269",,
"10795	748	Beach Boys	Our Favorite Recording Sessions	-0.7723",,
"10796	748	Beach Boys	Rock And Roll Music	0.9304",,
"10797	748	Beach Boys	Shut Down	0.1779",,
"10798	748	Beach Boys	Sloop John B	-0.9736",,
"10799	748	Beach Boys	Sloop John B.	-0.7381",,
"10800	748	Beach Boys	South Bay Surfer	0.8777",,
"10801	748	Beach Boys	Surfer Girl	0.9661",,
"10802	748	Beach Boys	Surfers Rule	0.9846",,
"10803	748	Beach Boys	Surfin'	0.8068",,
"10804	748	Beach Boys	Surfin' Safari	0.3612",,
"10805	748	Beach Boys	Surfin' U.s.a.	0.4199",,
"10807	748	Beach Boys	Surf's Up	-0.9226",,
"10808	748	Beach Boys	Talk To Me	0.7819",,
"10809	748	Beach Boys	Ten Little Indians	0.6522",,
"10810	748	Beach Boys	That's Not Me	-0.8525",,
"10811	748	Beach Boys	The Girls On The Beach	0.802",,
"10812	748	Beach Boys	The Little Old Lady from Pasadena	-0.7362",,
"10813	748	Beach Boys	The Shift	0.8859",,
"10814	748	Beach Boys	The Sloop John B.	-0.6571",,
"10815	748	Beach Boys	The Surfer Moon	0.628",,
"10816	748	Beach Boys	The Wanderer	0.9865",,
"10817	748	Beach Boys	The Warmth of The Sun	0.9508",,
"10818	748	Beach Boys	Then I Kissed Her	0.9931",,
"10819	748	Beach Boys	Time To Get Alone	0.9617",,
"10820	748	Beach Boys	Under The Boardwalk	0.8948",,
"10821	748	Beach Boys	Wake The World	0.4767",,
"10822	748	Beach Boys	We'll Run Away	-0.8817",,
"10823	748	Beach Boys	Wendy	0.4918",,
"10824	748	Beach Boys	Wipeout	0.9007",,
"10825	748	Beach Boys	Wonderful	0.9897",,
"10826	748	Beach Boys	Wouldn't It Be Nice	0.9612",,
"10827	748	Beach Boys	You Still Believe In Me	-0.2689",,
"10828	748	Beach Boys	Your Summer Dream	0.8519",,
"10829	748	Beach Boys	You're So Good To Me	0.9884",,
"10830	749	Beadell Elly	Cruising Down The River	0.9617",,
"10831	750	Beagle Music Ltd.	Ice In The Sunshine	0.989",,
"10832	751	Beam	Be Ye Glad	0.959",,
"10833	751	Beam	Blue Moon	0.9867",,
"10834	751	Beam	Jesus On The Mainline	-0.8402",,
"10835	751	Beam	John The Revelator	0.9735",,
"10836	751	Beam	Never Let Go	-0.788",,
"10837	751	Beam	Renaissance	0.8756",,
"10838	751	Beam	Travelin' Shoes	-0.9962",,
"10839	751	Beam	When I Say Farewell	-0.6011",,
"10840	753	Beart Guy	La V&#233;rit&#233;	0.0772",,
"10842	753	Beart Guy	Les Couleurs Du Temps	-0.128",,
"10843	753	Beart Guy	Les Souliers	0.9039",,
"10844	753	Beart Guy	L'esp&#233;rance Folle	-0.1759",,
"10845	754	Beastie Boys	And Me	0.296",,
"10846	754	Beastie Boys	Bodhisattva Vow	0.9938",,
"10847	754	Beastie Boys	Body Movin	0.9802",,
"10848	754	Beastie Boys	Body Movin'	0.9856",,
"10849	754	Beastie Boys	Brass Monkey	0.0644",,
"10850	754	Beastie Boys	Do It	0.8606",,
"10851	754	Beastie Boys	Egg Man	-0.9087",,
"10852	754	Beastie Boys	Egg Raid On Mojo	-0.9379",,
"10853	754	Beastie Boys	Fight For Your Right	-0.8722",,
"10854	754	Beastie Boys	Flute Loop	0.7174",,
"10855	754	Beastie Boys	Girls	0.8792",,
"10856	754	Beastie Boys	Girls!	0.8792",,
"10857	754	Beastie Boys	Gratitude	0.9345",,
"10858	754	Beastie Boys	Heart Attack Man	-0.9905",,
"10859	754	Beastie Boys	Hold It Now - Hit It	0.3577",,
"10860	754	Beastie Boys	Instant Death	-0.4588",,
"10861	754	Beastie Boys	Intergalactic	0.9403",,
"10862	754	Beastie Boys	Just A Test	0.434",,
