id,artistid,artist,title,compound_score
64271,5383,Mae,All Deliberate Speed,0.5114
64281,5384,Maestro Fresh Wes,Let Your Backbone Slide,0.9935
64282,5385,Maffay Peter,Du,-0.7405
64287,5386,Magalona Francis,Funky Monkey,0.5826
64298,5387,Magarita And The Swingin Girls,Samba Brazil,-0.9873
64299,5388,Magazine,Burst,0.6573
64310,5391,Maggard Cletus,White Knight,0.974
64311,5392,Maggie Mae,Applaus Fuer Ein Total Verruecktes Haus,-0.9787
64314,5393,Maggies Farm,Not Until The Wind Changes,0.7033
64316,5394,Magic Affair,Carry On,0.9748
64319,5395,Magnapop,An Apology,-0.6705
64342,5396,Magnum,All Come Together,0.9818
64359,5397,Magpie Ehuc,Tikka Massala,0.5023
64360,5398,Maharry Wendy,All That Ive Got,0.926
64361,5399,Mahrcio,Don't Go Away,0.4439
64363,5400,Mai Tai,History,0.9928
64369,5401,Maia Tim,Do Leme Ao Pontal,-0.296
64381,5402,Main Concept,Coole Schie&amp;szlig;e,-0.9947
64382,5403,Main Source,Peace Is Not The Word To Play,0.9025
64383,5404,Mainframe Entertainment,Everything Is Alphanumeric!,-0.5158
64384,5405,Maivia Rocky,Do You Smell What The Rock Is Cookin?,0.9159
64388,5407,Makaveli,Krazy,-0.9916
64390,5408,Makromad,Tausend Tage Fete,-0.9769
64391,5409,Malachi Crunch,Crunchy Lady,0.171
64401,5411,Malaysia,Bunga Raya,0.6809
64406,5412,Malcolm Roberts,Love Is All,0.2819
64407,5413,Malcom And Liz,Tina O.z.,0.8481
64408,5414,Malcom And Mclaren,Double Dutch,0.9738
64410,5415,Maldita Vecindad,Un Poco De Sangre Roja,-0.7906
64412,5417,Malevolent Creation,Alliance Or War,-0.8481
64468,5418,Malfa,Amerika,-0.9136
64477,5420,Mallet,Shine On,0.9716
64478,5421,Malmkvist Siw,Liebeskummer Lohnt Sich Nicht,-0.9664
64479,5422,Malmsteen Yngwie,All I Want Is Everything,0.2263
64492,5423,Malpraktis,Cheap,0.5782
64495,5424,Mamas & The Papas,California Dreamin',0.8481
64499,5425,Mamas And Papas,California Dreamin',0.886
64503,5426,Mamas And The Papas,Dedicated To The One I Love,0.9545
64506,5427,Mamonas Assassinas,1406,0.1984
64514,5428,Man At Work,Down Under,0.968
64515,5429,Man Without Hats,The Safety Dance,0.9797
64516,5430,Man&#225;,Amame Hasta Que Muera,0.9982
64542,5432,Manau,La Confession,-0.9493
64549,5433,Manbreak,It's On,0.9701
64555,5434,Manchester Melissa,Come In From The Rain,0.9645
64560,5435,Manco Baris,Gulpembe,-0.34
64562,5436,Mandauml;rz,Auf Der Stra&amp;szlig;e Nach Colonos,-0.9983
64563,5437,Mandel Johnny,Suicide Is Painless (theme From Mash),-0.2446
64565,5439,Mandrell Barbara,Child Support,0.9092
64572,5440,Mandy,I Just Can't Wait,-0.6716
64575,5441,Mandy Moore,17,0.97
64612,5442,Mandy Winter,He's A Man,-0.6725
64614,5443,Manfred Mann,Fox On The Rum,0.8176
64618,5444,Manfred Manns Earth Band,Bantustan,-0.504
64635,5445,Manfred Maurenbrecher,Wessie,-0.9981
64636,5446,Manfred Morgan,Zuerst Kam Die Sonne,-0.9948
64637,5447,Mango Groove,Dance Some More,0.9726
64643,5448,Manhattan Transfer,Boy from New York City,0.979
64654,5449,Manhattans,Forever By Your Side,0.9645
64656,5450,Manic Eden,Can You Feel It,0.9707
64666,5451,Manic Street Preachers,4st 7lb,0.5599
64818,5452,Manilla Road,A Touch Of Madness,0.7351
64881,5453,Manilow Barry,Dance Away,0.9538
64888,5454,Mankind,Deceitful Vows,0.9623
64891,5455,Mann Aimee,4th Of July,-0.2406
64914,5456,Mann Barry,"Who Put The Bomp (in The Bomp, Bomp, Bomp)",0.9861
64915,5457,Mann Billy,Flower,-0.9953
64919,5459,Mano Negra,La Vida Me Da Palo,-0.9465
64923,5460,Manoevres In The Dark,(forever) Live And Die,0.7906
64932,5461,Manowar,All Men Play On Ten,0.9914
65012,5462,Mansun,An Open Letter To The Lyrical Trainspotter,0.8677
65028,5463,Mantis,Need You,-0.8509
65030,5464,Mantissa,Mary Mary,0.0772
65031,5465,Manu Chao,Bongo Bong,0.6486
65032,5466,Manuel,Lieber Vater,-0.9661
65033,5467,Manuel And Pony,Das Lied Von Manuel,-0.9423
65034,5468,Manuel B,Lorita (you're My Girl),0.9905
65035,5469,Manuela,A B C,-0.7243
65047,5470,Manuela And Wolfgang,Ohne Di,-0.7184
65049,5472,Manuela Weiden,Ich Bin So Gern Bei Dir,-0.5994
65050,5473,Maouml;lltaler,Amore Mio,-0.9223
65070,5474,Maouml;sser And Olias,Jodel - Jockel,-0.7243
65072,5475,Mara Kayser,Ich Z&amp;uuml;nd' F&amp;uuml;r Dich Eine Kerze An,-0.5994
65074,5476,Marc Almond,Friends,0.9807
65080,5477,Marc Andre,Nimm Die Welt - Wie Sie Ist,-0.9823
65081,5478,Marc Anthony,Am I The Only One,-0.2292
65131,5479,Marc Cohn,Ghost Train,-0.8402
65134,5480,Marc De Ville,Walking Alone In The Rain,-0.6637
65135,5481,Marc Seaberg,California Gold,0.8496
65136,5482,Marcels,Blue Moon,0.9867
65137,5483,Marco Borsato,Zonder Jou,0.5514
65140,5485,Marco Masini,Cantano I Ragazzi,0.34
65148,5486,Marcy Brothers,By The Dawn's Early Light,-0.7402
65151,5487,Marcy Playground,A Cloak Of Elvenkind,0.4404
65163,5488,Marduk,Anno Domini 1476,-0.984
65183,5489,Margot Eskens,Hat Mich Das Gl&amp;uuml;ck Ganz Vergessen?,-0.9795
65184,5490,Margot Eskens And G.g. Anderson,Cindy,-0.9485
65185,5491,Margot Werner,So Ein Mann,-0.9485
65186,5492,Maria And Margot Hellweg,Servus,-0.5994
65187,5493,Maria Magdalena,I Don&#180;t Know How To Love Him,0.9708
65188,5494,Maria Mathis,Hob I Di,-0.644
65189,5495,Maria Mckee,If Love Is A Red Dress (hang Me In Rags),0.9741
65191,5496,Maria Vidal,Body Rock,0.8712
65192,5497,Mariah Carey,After Tonight,0.9873
65336,5498,Mariah Carey And Boyz Ii Men,One Sweet Day,0.9726
65337,5499,Mariah Carey And Puff Daddy,Honey (remix),0.9907
65338,5500,Mariah Carey And Whitney Houston,When You Belive,0.9636
65339,5501,Mariah Carey Feat. Jay-z,Heartbreaker,0.9764
65340,5502,Mariah Carey Feat. Joe And Nas,Thank God I Found You (remix),0.9971
65341,5503,Mariah Carey Feat. Odb,Fantasy,-0.9186
65342,5504,Mariah Carrey And Boyz Ii Men,One Sweet Day,0.8819
65343,5505,Marianne And Michael,Ich Moecht' Gern Dein Herz Klopfen Hoer'n,-0.9485
65347,5506,Marianne Faithfull,Sloth,0.8946
65349,5507,Marianne Rosenberg,Cariblue,-0.8316
65370,5508,Marias Basement,Miserable,-0.296
65371,5509,Marie Andergast And Hans Lang,Ganz Langsam,-0.9674
65373,5511,Marie Osmond,Paper Roses,0.9778
65374,5512,Marie Sonja,And I Gave My Love To You,0.9934
65375,5513,Marie Teena,14k,0.9259
65377,5514,Marietta,Fire And Ice,-0.9672
65378,5515,Marillion,100 Nights,0.9821
65461,5516,Marilyn Manson,& Quot;Untitled & Quot ;,-0.25
65568,5517,Marilyn Monroe,I Wanna Be Loved By You,0.9912
65569,5518,Mario Jordan,Welch Ein Tag,-0.8741
65570,5519,Mario Jordon,Liebe Ist ...,-0.9569
65572,5520,Mario Mendez,F&amp;uuml;r Immer Und Ewig,-0.9506
65573,5521,Mario Vogt,Dich Ber&amp;uuml;hren,-0.9939
65574,5522,Marion,All For Love,-0.8581
65584,5523,Marion And Wolfgang Thomasius,Unser Norden Ist Noch Sch&amp;ouml;ner Geworden,0.0258
65586,5525,Mariska Verses,Take Me High,0.8582
65587,5526,Marius Mauuml;ller-westernhagen,Alleine,0.5267
65596,5527,Marjo,Ton Nom,-0.128
65597,5528,Mark Oh,Tears Don't Lie,-0.9996
65600,5529,Mark Oh Vs. John Davies,The Sparrows And The Nightingales (lange Version),-0.9462
65601,5530,Mark Owen,Are You With Me?,0.9584
65604,5531,Markos Teresa,Ghost Janitor,0.5029
65605,5532,Marks Kenny,I'd Do It All Over Again,-0.2955
65607,5533,Markus,Ab Und Los,-0.8949
65613,5534,Markus Rauuml;ger,Manana,-0.9779
65615,5535,Marky Mark And The Funky Bunch,Good Vibrations,0.9354
65617,5536,Marky Mark Feat. Prince Ital. Joe,Life In The Streets,-0.9515
65619,5537,Marlene Dietrich,"Paff, Der Zauberdrachen (puff The Magic Dragon)",-0.9816
65622,5538,Marlene Ricci,Tonight,0.9743
65623,5539,Marley Bob,Buffalo Soldier,-0.9974
65627,5540,Marley Ziggy,All Love,0.995
65636,5541,Marleys Ghost,(your Love Is Like The) Mountain Water,0.934
65669,5542,Maroon 5,Harder to Breathe,0.8188
65680,5543,Marry Me Jane,Bad Loser,-0.8389
65686,5544,Marschall,Dancing In The City,-0.4767
65687,5545,Marshall Amanda,Beautiful Goodbye,0.8704
65694,5547,Martha And The Vandellas,Dancing In The Street,0.9322
65695,5548,Marti Webb,Take The Look Of Your Face,-0.6536
65697,5549,Martia Bazar,Ti Sento,-0.8126
65698,5550,Martika,A Magical Place (duet With Christopher Max),0.9432
65702,5552,Martin Billie Ray,Your Loving Arms,0.9781
65703,5553,Martin Dean,Memories Are Made Of This,0.9631
65705,5554,Martin Griffith,The Dock Of The Bay,0.5924
65706,5555,Martin Keith,Because Of You,0.9943
65708,5556,Martin Mann,Heut' Ist Mir Alles Egal,-0.8316
65711,5557,Martin Marilyn,Separate Lives,-0.4939
65713,5559,Martin Ricky,Livin' La Vida Loca,-0.9607
65715,5560,Martina Germek,Trustfull World,-0.25
65716,5561,Martina Mcbride,A Great Disguise,0.9883
65766,5562,Martindale Wink,Deck Of Cards,0.9913
65767,5563,Martinelli,Cenerentola (cinderella),-0.7399
65768,5564,Martinez Idelle,A Smile In Your Heart,0.9883
65770,5565,Martinez Nancy,Feel My Love (n'attends Pas),0.7622
65771,5566,Martinez Roscoe,Neon Moonlight,0.3728
65772,5567,Martini Ranch,(brother) Take It Out,0.522
65782,5568,Martinis,Free,0.9736
65783,5569,Martino Bruno,Cos'hai Trovato In Lui,-0.4098
65784,5570,Marton Sandy,People From Ibiza,0.9853
65785,5571,Martyn John,I'd Rather Be The Devil,-0.9486
65787,5572,Martyn John And Beverly,Can't Get The One I Want,0.9499
65797,5574,Marvelous 3,Cigarette Lighter Love Song,0.4898
65798,5575,Marvin,Marvin I Love You,0.8671
65799,5576,Marvin Gaye,I Heard It Through The Grapevine,0.8369
65801,5577,Marwan Gedeon,Forever In My Mind,-0.4017
65803,5579,Mary,Es Ist Nicht Leicht Ein Clown Zu Sein,-0.8316
65805,5580,Mary And Gordy,Meistens Ist Garnichts Dahinter,-0.5994
65806,5581,Mary Black,Diamond Days,0.9702
65807,5582,Mary Chapin Carpenter,I Feel Lucky,0.9878
65808,5583,Mary Hopkin,Knock,0.8611
65809,5584,Mary J Blige,A Spanish Piece,0.6486
65840,5585,Mary J. Blidge,I Love You,-0.3918
65841,5586,Mary J. Blige,A Natural Woman,0.8147
65850,5587,Mary Mac Gregor,Torn Between Two Lovers,0.9798
65851,5588,Mary Mary,Be Happy,-0.8402
65863,5589,Mary Roos,Am Anfang War Die Liebe,-0.9963
65874,5590,Mary Roos And David Hanselmann,Lady,-0.7205
65875,5591,Mas Hysteria,M.h. 2 C.e.s,-0.8698
65876,5592,Mase,Cheat On You,-0.5499
65885,5593,Mase (feat. Puff Daddy),Lookin' At Me,0.9009
65886,5594,Mase Mase,Love You So,0.9188
65887,5595,Mash,Behind Tge Surface,0.5043
65889,5596,Mason Barry,A Man Without Love,0.8437
65890,5597,Mason Dave,We Just Disagree,0.9416
65891,5598,Mason Mila,Dark Horse,0.9043
65894,5599,Masque,A Confident Dance,0.9543
65903,5600,Masquerade,Everyday Loser,-0.8203
65905,5601,Mass Hysteria,Donnez Vous La Peine,0.6808
65909,5602,Massacra,Agonizing World,-0.802
65947,5603,Massive Attack,(exchange),0.8225
65984,5604,Massive Taouml;ne,&amp;uuml;berfall,-0.8677
65999,5605,Master,America The Pitiful,0.5023
66018,5606,Master P,A Woman,0.9639
66065,5607,Masterboy,And I Need You,0.9781
66077,5608,Masters Hammer,&quot;the Jielemnice Occultist&quot; Storyline,-0.9627
66105,5609,Masters Of The Obvious,Dingleberry Rock,-0.8896
66106,5610,Masters Rick,Cherubin Or Mephistophelic,0.6908
66112,5611,Mastertune,Die Macht,-0.8316
66121,5612,Matchbox,Babe's In The Wood,-0.8289
66127,5613,Matchbox 2,3 A.m.,0.1707
66128,5614,Matchbox 20,3:00 AM,0.4854
66170,5615,Matchbox Twenty,3am,0.4854
66205,5616,Material Issue,Trouble,-0.8827
66206,5617,Matgot Eskens,Ich Weiss,-0.8316
66208,5619,Mathis Johnny,A Certain Smile,0.9804
66213,5620,Mathou,Come Children Sing,-0.5859
66218,5622,Matmatah,An Den Coz,-0.34
66230,5623,Matt Bianco,Get Out Of Your Lazy Bed,-0.9478
66234,5624,Mattea Kathy,455 Rocket,0.8912
66273,5625,Matthew Good Band,21st Century Living,-0.4215
