title,followers_count,genres,popularity
Alanis Morissette,847835,"['alternative rock', 'canadian pop', 'dance pop', 'folk-pop', 'lilith', 'new wave pop', 'pop rock']",70
Alannah Myles,31390,['new wave pop'],56
The Alarm,19031,"['dance rock', 'indie christmas', 'jangle pop', 'new romantic', 'new wave', 'new wave pop', 'power pop', 'synthpop', 'welsh rock']",43
Alastis,662,['symphonic black metal'],9
"Albert Hammond, Jr.",72512,"['dance-punk', 'garage rock', 'indie pop', 'indie rock', 'modern rock', 'new rave', 'punk blues']",59
Albert West,2121,"[""traditional rock 'n roll""]",34
The Rural Alberta Advantage,37362,"['canadian indie', 'indie folk', 'modern rock', 'stomp and holler']",50
Albita,4961,"['cuban rumba', 'latin jazz', 'mambo', 'salsa', 'tropical']",34
Alcazar,16888,"['dance pop', 'eurodance', 'europop', 'soul christmas', 'swedish idol pop', 'swedish pop']",48
The Alchemist,62301,"['alternative hip hop', 'hardcore hip hop', 'hip hop', 'southern hip hop', 'turntablism', 'underground hip hop', 'west coast rap']",53
Alda Célia,49572,['brazilian gospel'],35
Alecia Elliott,300,"['country christmas', 'country dawn', 'deep contemporary country']",8
Alejandro Sanz,1872229,"['cantautor', 'latin', 'latin arena pop', 'latin christmas', 'latin pop', 'rock en espanol', 'spanish pop', 'tropical']",77
Ben Alessi,1034,[],44
Alex & Sierra,387374,"['neo mellow', 'pop', 'post-teen pop', 'teen pop', 'viral pop']",71
Alexander Tidebrink,301,[],63
Alexander O'Neal,76847,"['classic funk rock', 'disco', 'funk', 'motown', 'new jack swing', 'post-disco', 'quiet storm', 'soul christmas', 'urban contemporary']",51
Monchy & Alexandra,182062,"['bachata', 'latin', 'merengue', 'tropical']",58
Alexia,16043,"['bubblegum dance', 'eurodance', 'europop', 'hip house', 'italo dance']",47
Alfie Khan Orchestra,8,[],0
Ali Primera,5020,"['classic venezuelan pop', 'nueva cancion', 'venezuelan rock']",27
Tatyana Ali,6749,"['hip pop', 'urban contemporary']",32
Sevn Alias,142393,['deep dutch hip hop'],73
Alice In Chains,1257695,"['album rock', 'alternative metal', 'alternative rock', 'classic rock', 'grunge', 'hard rock', 'nu metal', 'post-grunge', 'rap metal', 'rock']",72
Alice Babs,3236,"['swedish jazz', 'vintage swedish pop']",36
Alice Cooper,799766,"['album rock', 'classic rock', 'comic', 'glam metal', 'glam rock', 'hard rock', 'heavy christmas', 'metal', 'protopunk', 'rock']",65
Alice Deejay,38345,"['bubble trance', 'bubblegum dance', 'eurodance', 'europop', 'hip house']",47
Alice Donut,2442,[],20
Alice In Chains,1257695,"['album rock', 'alternative metal', 'alternative rock', 'classic rock', 'grunge', 'hard rock', 'nu metal', 'post-grunge', 'rap metal', 'rock']",72
Alicia Bridges,3777,['disco'],37
Alicia Keys,3848730,"['hip pop', 'pop', 'pop christmas', 'post-teen pop', 'r&b', 'urban contemporary']",80
Alien Ant Farm,264875,"['alternative metal', 'alternative rock', 'funk metal', 'nu metal', 'pop punk', 'pop rock', 'post-grunge', 'rap metal', 'rap rock']",63
Aliens Like Ghosts,21,[],23
Nicu Alifantis,1346,"['romanian pop', 'romanian rock']",23
Alis,3152,[],22
Alisha Chinai,2687,"['desi', 'filmi', 'indian pop', 'sufi']",39
Alisha's Attic,3451,"['candy pop', 'new wave pop']",29
Alison Krauss,135440,"['bluegrass', 'contemporary country', 'country christmas', 'folk', 'lilith', 'progressive bluegrass']",62
Alison Moyet,85020,"['art rock', 'dance rock', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']",52
Alkaline Trio,166672,"['emo', 'melodic hardcore', 'modern rock', 'pop punk', 'punk', 'skate punk']",60
Alkbottle,990,['austropop'],16
Alkehol,1963,[],30
All Time Low,1477250,"['modern rock', 'pop punk', 'post-teen pop', 'punk christmas']",74
All-4-One,144757,"['boy band', 'dance pop', 'new jack swing', 'r&b', 'soul christmas', 'urban contemporary']",58
All About Eve,7353,"['dark wave', 'ethereal wave', 'gothic rock']",30
The All-American Rejects,900002,"['emo', 'modern rock', 'neo mellow', 'pop punk', 'pop rock', 'post-grunge']",70
All I Want Now Is To Melt In The Air,16,[],0
All Living Fear,38,['corrosion'],0
All Saints,121501,"['bubblegum dance', 'canadian pop', 'dance pop', 'europop', 'new wave pop', 'pop rock', 'uk garage']",57
All-Star United,878,[],15
All-4-One,144757,"['boy band', 'dance pop', 'new jack swing', 'r&b', 'soul christmas', 'urban contemporary']",58
Gary Allan,328100,"['contemporary country', 'country', 'country christmas', 'country road', 'modern country rock', 'outlaw country', 'texas country']",63
Peter Allan,18,['australian pop'],0
Allegiance,934,['straight edge'],14
Rex Allen,1553,"['cowboy western', 'western swing']",28
Allison Moorer,8851,"['country christmas', 'country dawn', 'folk', 'folk christmas', 'lilith']",36
The Allman Brothers Band,419627,"['album rock', 'blues-rock', 'classic rock', 'electric blues', 'folk rock', 'hard rock', 'jam band', 'mellow gold', 'modern blues', 'psychedelic rock', 'rock', 'roots rock', 'singer-songwriter', 'soft rock', 'southern rock']",67
Allure,5683,[],37
Marc Almond,21205,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'synthpop']",42
Alpenland Quintett,241,['zillertal'],13
Alpentrio Tirol,2775,"['schlager', 'volksmusik', 'zillertal']",28
Herb Alpert & The Tijuana Brass,40653,"['adult standards', 'christmas', 'easy listening', 'exotica', 'lounge']",50
ALPHA 9,10005,"['edm', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']",55
Alphaville,164409,"['dance rock', 'europop', 'new romantic', 'new wave', 'new wave pop', 'synthpop']",65
die original Alpinkatzen,0,[],0
A.L.T. And The Lost Civilization,165,[],23
